Location,Agegroup,Bin_cml,Cml,Bin,Peak.Magnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
US National,Overall,[0-0.2),0.000000,[0-0.1),0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950000,0.803333,0.686667,0.566667,0.436667,0.300000,0.193333,0.093333,0.020000,0.003333,0.006667,0.036667,0.113333,0.173333,0.226667,0.293333,0.350000,0.413333,0.473333,0.546667,0.583333,0.673333,0.730000,0.770000,0.850000,0.910000,0.943333,0.983333,0.993333,0.996667,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
US National,Overall,[0.2-0.4),0.000000,[0.1-0.2),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046667,0.110000,0.086667,0.083333,0.090000,0.103333,0.090000,0.090000,0.060000,0.016667,0.023333,0.050000,0.050000,0.053333,0.060000,0.056667,0.076667,0.070000,0.080000,0.056667,0.110000,0.066667,0.080000,0.096667,0.070000,0.056667,0.050000,0.013333,0.006667,0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
US National,Overall,[0.4-0.6),0.000000,[0.2-0.3),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003333,0.043333,0.030000,0.046667,0.063333,0.073333,0.073333,0.060000,0.056667,0.026667,0.030000,0.046667,0.030000,0.030000,0.046667,0.040000,0.030000,0.050000,0.026667,0.070000,0.040000,0.043333,0.050000,0.050000,0.046667,0.023333,0.003333,0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
US National,Overall,[0.6-0.8),0.000000,[0.3-0.4),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013333,0.040000,0.043333,0.040000,0.040000,0.046667,0.026667,0.050000,0.053333,0.023333,0.023333,0.026667,0.023333,0.016667,0.043333,0.033333,0.020000,0.050000,0.040000,0.020000,0.046667,0.036667,0.026667,0.020000,0.003333,0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
US National,Overall,[0.8-1),0.000000,[0.4-0.5),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.033333,0.033333,0.013333,0.020000,0.030000,0.033333,0.036667,0.043333,0.040000,0.020000,0.006667,0.030000,0.026667,0.016667,0.023333,0.020000,0.026667,0.013333,0.030000,0.030000,0.023333,0.023333,0.006667,0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
US National,Overall,[1-1.2),0.000000,[0.5-0.6),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003333,0.023333,0.010000,0.023333,0.023333,0.023333,0.036667,0.016667,0.026667,0.040000,0.020000,0.026667,0.016667,0.013333,0.006667,0.033333,0.016667,0.040000,0.020000,0.040000,0.020000,0.020000,0.020000,0.000000,0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
US National,Overall,[1.2-1.4),0.000000,[0.6-0.7),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003333,0.026667,0.010000,0.016667,0.013333,0.013333,0.030000,0.013333,0.036667,0.030000,0.013333,0.020000,0.023333,0.026667,0.020000,0.006667,0.040000,0.020000,0.006667,0.016667,0.036667,0.020000,0.003333,0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
US National,Overall,[1.4-1.6),0.000000,[0.7-0.8),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003333,0.020000,0.016667,0.016667,0.020000,0.026667,0.026667,0.023333,0.026667,0.036667,0.020000,0.010000,0.000000,0.023333,0.016667,0.006667,0.016667,0.006667,0.020000,0.020000,0.003333,0.010000,0.003333,0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
US National,Overall,[1.6-1.8),0.000000,[0.8-0.9),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006667,0.010000,0.020000,0.023333,0.030000,0.013333,0.030000,0.006667,0.030000,0.020000,0.016667,0.020000,0.006667,0.016667,0.013333,0.016667,0.013333,0.033333,0.010000,0.013333,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
US National,Overall,[1.8-2),0.000000,[0.9-1),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013333,0.010000,0.016667,0.010000,0.000000,0.020000,0.003333,0.043333,0.020000,0.023333,0.016667,0.013333,0.010000,0.020000,0.010000,0.026667,0.010000,0.016667,0.020000,0.013333,0.010000,0.003333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
