Location,Agegroup,Bin_cml,Cml,Bin,Peak.Magnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
US National,Overall,[0-0.1),0,[0-0.025),0,1,1,1,1,1,1,1,1,1,0.9,0.725,0.4125,0.2625,0.1375,0.0375,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.45,0.7375,0.9,0.9875,1,1,1,1,1,1,1,1
US National,Overall,[0.1-0.2),0,[0.025-0.05),0,0,0,0,0,0,0,0,0,0,0.0875,0.1125,0.2125,0.1,0.1,0.075,0.025,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.2,0.475,0.55,0.425,0.25,0.1,0.0125,0,0,0,0,0,0,0,0
US National,Overall,[0.2-0.3),0,[0.05-0.075),0,0,0,0,0,0,0,0,0,0,0.0125,0.1125,0.125,0.125,0.05,0.0375,0.025,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.2875,0.3625,0.275,0.1375,0.1125,0.0125,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.3-0.4),0,[0.075-0.1),0,0,0,0,0,0,0,0,0,0,0,0.0375,0.0375,0.1125,0.0625,0.0625,0.05,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.1875,0.2375,0.1625,0.125,0.1,0.0125,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.4-0.5),0,[0.1-0.125),0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0.0375,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2625,0.1,0.0875,0.1,0.0125,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.5-0.6),0,[0.125-0.15),0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0875,0.0625,0.075,0,0.0125,0.025,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.15,0.075,0.0875,0.1375,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.6-0.7),0,[0.15-0.175),0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.05,0.0375,0.025,0.05,0.025,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0625,0.15,0.0625,0.0875,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.7-0.8),0,[0.175-0.2),0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.0125,0.0375,0.025,0,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.1,0.0625,0.0625,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.8-0.9),0,[0.2-0.225),0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.0125,0.05,0.0125,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0375,0.1,0.025,0.075,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.9-1),0,[0.225-0.25),0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0.025,0.025,0.025,0,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0875,0.05,0.0625,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1-1.1),0,[0.25-0.275),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.025,0.0125,0.025,0.025,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0.05,0.0875,0.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.1-1.2),0,[0.275-0.3),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.025,0.0375,0,0.0375,0.025,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0.025,0.05,0.0375,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.2-1.3),0,[0.3-0.325),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0.0125,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0.0125,0.025,0.0625,0.025,0.05,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.3-1.4),0,[0.325-0.35),0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.0125,0.0125,0,0.0125,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0375,0.0125,0.0375,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.4-1.5),0,[0.35-0.375),0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.0375,0.025,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.075,0.0375,0.025,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.5-1.6),0,[0.375-0.4),0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0.025,0.025,0.0375,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.075,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.6-1.7),0,[0.4-0.425),0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.0125,0.0125,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.0625,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.7-1.8),0,[0.425-0.45),0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.0125,0.0125,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.025,0,0.0375,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.8-1.9),0,[0.45-0.475),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.025,0,0.025,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.0125,0.0625,0.0125,0.025,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[1.9-2),0,[0.475-0.5),0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.0125,0.0125,0,0.0125,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0.0125,0,0.05,0.05,0.05,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2-2.1),0,[0.5-0.525),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0.0125,0,0.0125,0,0,0,0,0,0,0,0,0.0125,0.05,0.0125,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.1-2.2),0,[0.525-0.55),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.05,0.0125,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.0125,0.0125,0.05,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.2-2.3),0,[0.55-0.575),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0.025,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.3-2.4),0,[0.575-0.6),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.0125,0.0375,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.4-2.5),0,[0.6-0.625),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.025,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0.0125,0.0875,0.0375,0.0375,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.5-2.6),0,[0.625-0.65),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.025,0.025,0,0,0.025,0,0.025,0,0,0,0,0,0,0,0,0,0.0375,0.0375,0.05,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.6-2.7),0,[0.65-0.675),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.0125,0,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0.0125,0.0375,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.7-2.8),0,[0.675-0.7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.0375,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0.0375,0.0375,0.0125,0.0375,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.8-2.9),0,[0.7-0.725),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.025,0.0125,0,0,0.0125,0,0,0,0,0,0,0,0,0,0.025,0.025,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2.9-3),0,[0.725-0.75),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0.0125,0.0125,0,0,0,0,0,0,0,0,0.0125,0.025,0.05,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3-3.1),0,[0.75-0.775),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0,0.0125,0,0,0,0,0,0,0,0,0,0,0.0125,0.0375,0.0125,0.0125,0.0125,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3.1-3.2),0,[0.775-0.8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.025,0.0375,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3.2-3.3),0,[0.8-0.825),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.025,0,0.0125,0,0.0125,0,0,0,0,0,0,0,0,0,0.0375,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3.3-3.4),0,[0.825-0.85),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0,0,0.025,0,0.0125,0,0,0,0,0,0,0,0,0.0125,0.05,0.0375,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3.4-3.5),0,[0.85-0.875),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.0375,0.0625,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3.5-3.6),0,[0.875-0.9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.0375,0.0375,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3.6-3.7),0,[0.9-0.925),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0,0,0.0125,0.0125,0,0,0.0125,0,0,0,0,0,0,0,0.05,0.025,0.025,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3.7-3.8),0,[0.925-0.95),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0.025,0.0125,0.0125,0,0.0125,0,0,0,0,0,0,0,0,0,0,0.0375,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3.8-3.9),0,[0.95-0.975),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0125,0,0.025,0.025,0,0,0.0125,0,0,0,0,0,0,0.025,0.025,0.05,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3.9-4),0,[0.975-1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0.0375,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0.05,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[4-4.1),0,[1-1.025),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0,0,0.025,0.025,0,0,0,0,0,0,0,0,0.0375,0.05,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[4.1-4.2),0,[1.025-1.05),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0.0125,0,0,0,0,0,0,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[4.2-4.3),0,[1.05-1.075),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0.025,0.025,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[4.3-4.4),0,[1.075-1.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0.0125,0,0.0125,0.0375,0.0125,0,0,0,0,0,0,0.025,0.075,0.0375,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[4.4-4.5),0,[1.1-1.125),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.025,0.0125,0,0,0.025,0.0125,0,0,0,0,0,0,0,0.025,0.075,0.025,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
