Location,Agegroup,Bin_cml,Cml,Bin,PeakMagnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
US National,Overall,[0-0.02),0.01,[0-0.01),0.0266666666666667,1,1,1,1,0.986666666666667,0.86,0.686666666666667,0.473333333333333,0.336666666666667,0.246666666666667,0.18,0.113333333333333,0.0833333333333333,0.0533333333333333,0.0366666666666667,0.0333333333333333,0.0333333333333333,0.03,0.03,0.0666666666666667,0.13,0.216666666666667,0.366666666666667,0.54,0.696666666666667,0.873333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
US National,Overall,[0.02-0.04),0.00666666666666667,[0.01-0.02),0.00666666666666667,0,0,0,0,0.0133333333333333,0.0866666666666667,0.136666666666667,0.166666666666667,0.113333333333333,0.0866666666666667,0.0666666666666667,0.0766666666666667,0.0366666666666667,0.0433333333333333,0.0366666666666667,0.01,0.00333333333333333,0.00666666666666667,0.0366666666666667,0.0466666666666667,0.07,0.106666666666667,0.133333333333333,0.126666666666667,0.146666666666667,0.126666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.04-0.06),0.01,[0.02-0.03),0.00333333333333333,0,0,0,0,0,0.0233333333333333,0.0333333333333333,0.0833333333333333,0.0833333333333333,0.07,0.0466666666666667,0.0366666666666667,0.0433333333333333,0.0166666666666667,0.0166666666666667,0.0266666666666667,0.00666666666666667,0.01,0.02,0.0366666666666667,0.05,0.08,0.0966666666666667,0.0933333333333333,0.146666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.06-0.08),0.00333333333333333,[0.03-0.04),0.00666666666666667,0,0,0,0,0,0.02,0.05,0.0566666666666667,0.05,0.0366666666666667,0.0333333333333333,0.02,0.0266666666666667,0.01,0.00666666666666667,0.01,0.01,0.0166666666666667,0.0266666666666667,0.0466666666666667,0.0333333333333333,0.08,0.05,0.0666666666666667,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.08-0.1),0.00333333333333333,[0.04-0.05),0.00666666666666667,0,0,0,0,0,0.00666666666666667,0.0166666666666667,0.0266666666666667,0.06,0.03,0.0366666666666667,0.0166666666666667,0.03,0.03,0.0133333333333333,0.01,0.02,0.02,0.0166666666666667,0.02,0.0533333333333333,0.0466666666666667,0.05,0.0733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.1-0.12),0,[0.05-0.06),0,0,0,0,0,0,0,0.0166666666666667,0.02,0.02,0.0233333333333333,0.03,0.0266666666666667,0.00666666666666667,0.0266666666666667,0.01,0.00666666666666667,0.00666666666666667,0.01,0.01,0.0133333333333333,0.0533333333333333,0.05,0.0466666666666667,0.0966666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.12-0.14),0,[0.06-0.07),0.0133333333333333,0,0,0,0,0,0.00333333333333333,0.00666666666666667,0.01,0.0333333333333333,0.04,0.02,0.02,0.02,0.01,0.00333333333333333,0.00333333333333333,0.01,0.0266666666666667,0.0366666666666667,0.04,0.0366666666666667,0.0366666666666667,0.0466666666666667,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.14-0.16),0.00333333333333333,[0.07-0.08),0.00666666666666667,0,0,0,0,0,0,0.0133333333333333,0.0133333333333333,0.0333333333333333,0.0133333333333333,0.02,0.0133333333333333,0.00666666666666667,0.00666666666666667,0.0166666666666667,0.00666666666666667,0.0166666666666667,0.0133333333333333,0.0233333333333333,0.02,0.0233333333333333,0.02,0.0366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.16-0.18),0,[0.08-0.09),0.00666666666666667,0,0,0,0,0,0,0.00666666666666667,0.00666666666666667,0.0233333333333333,0.02,0.00666666666666667,0.0166666666666667,0.00666666666666667,0.02,0.0133333333333333,0.01,0.00333333333333333,0.01,0.0266666666666667,0.01,0.04,0.0333333333333333,0.0466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.18-0.2),0,[0.09-0.1),0.00333333333333333,0,0,0,0,0,0,0,0.0233333333333333,0.02,0.0233333333333333,0.01,0.0133333333333333,0.00333333333333333,0.00333333333333333,0.01,0.00666666666666667,0.0166666666666667,0.00666666666666667,0.01,0.0333333333333333,0.0366666666666667,0.02,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
