Location,Agegroup,Bin_cml,Cml,Bin,Peak Magnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Week53
US National,Overall,[0-0.2),0.0,[0-0.1),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.92,0.82,0.76,0.63,0.54,0.48,0.36,0.26,0.2,0.18,0.16,0.13,0.11,0.1,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.06,0.09,0.09,0.14,0.19,0.22,0.25,0.27,0.38,0.41,0.47,0.5,0.53,0.62,0.64,0.69,0.74,0.89
US National,Overall,[0.2-0.4),0.0,[0.1-0.2),0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.1,0.11,0.16,0.2,0.12,0.15,0.17,0.13,0.06,0.04,0.04,0.05,0.03,0.05,0.04,0.01,0.01,0.02,0.03,0.08,0.06,0.03,0.08,0.07,0.05,0.04,0.12,0.14,0.08,0.09,0.07,0.12,0.12,0.09,0.13,0.1,0.07,0.06
US National,Overall,[0.4-0.6),0.0,[0.2-0.3),0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.05,0.06,0.04,0.07,0.05,0.07,0.06,0.07,0.04,0.03,0.01,0.03,0.02,0.01,0.03,0.02,0.01,0.05,0.03,0.01,0.07,0.07,0.04,0.03,0.11,0.04,0.06,0.05,0.08,0.09,0.03,0.09,0.06,0.04,0.03,0.02,0.05
US National,Overall,[0.6-0.8),0.0,[0.3-0.4),0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.05,0.02,0.08,0.07,0.04,0.09,0.07,0.04,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.03,0.02,0.0,0.06,0.05,0.02,0.04,0.11,0.05,0.05,0.03,0.03,0.05,0.02,0.08,0.03,0.04,0.01,0.01,0.01,0.0
US National,Overall,[0.8-1),0.01,[0.4-0.5),0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.05,0.03,0.03,0.02,0.02,0.02,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.05,0.0,0.01,0.02,0.02,0.03,0.04,0.04,0.06,0.04,0.02,0.06,0.02,0.06,0.04,0.03,0.0,0.01,0.01,0.01,0.0
US National,Overall,[1-1.2),0.0,[0.5-0.6),0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.01,0.09,0.04,0.02,0.03,0.03,0.03,0.01,0.01,0.0,0.01,0.01,0.0,0.02,0.02,0.03,0.03,0.02,0.02,0.06,0.02,0.02,0.03,0.07,0.03,0.04,0.04,0.01,0.01,0.02,0.01,0.01,0.02,0.0
US National,Overall,[1.2-1.4),0.0,[0.6-0.7),0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.03,0.03,0.06,0.02,0.03,0.02,0.01,0.0,0.01,0.02,0.02,0.02,0.02,0.04,0.02,0.0,0.0,0.03,0.04,0.02,0.02,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.0,0.01,0.01,0.0
US National,Overall,[1.4-1.6),0.0,[0.7-0.8),0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.01,0.01,0.02,0.0,0.01,0.01,0.03,0.01,0.0,0.01,0.01,0.01,0.04,0.0,0.01,0.01,0.0,0.03,0.07,0.03,0.02,0.01,0.03,0.03,0.04,0.04,0.02,0.0,0.01,0.0,0.01,0.01,0.01,0.0
US National,Overall,[1.6-1.8),0.0,[0.8-0.9),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.04,0.01,0.04,0.03,0.02,0.01,0.01,0.0,0.01,0.03,0.0,0.03,0.05,0.02,0.0,0.03,0.01,0.03,0.02,0.03,0.02,0.04,0.03,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.0
US National,Overall,[1.8-2),0.0,[0.9-1),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,0.0,0.05,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.01,0.02,0.01,0.02,0.0,0.02,0.04,0.01,0.02,0.04,0.0,0.03,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.0,0.0
