Location,Agegroup,Bin_cml,Cml,Bin,Peak Magnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Week53,Week54
US National,Overall,[0-0.2),0.0,[0-0.1),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.08,0.15,0.22,0.35,0.46,0.57,0.64,0.76,0.8,0.82,0.84,0.86,0.89,0.89,0.9,0.94,0.94,0.95,0.95,0.97,0.97,0.98,1.0,1.0
US National,Overall,[0.2-0.4),0.0,[0.1-0.2),0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.06,0.04,0.03,0.03,0.02,0.01,0.0,0.0,0.0,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.08,0.15,0.13,0.12,0.12,0.14,0.06,0.03,0.05,0.06,0.05,0.04,0.06,0.05,0.02,0.03,0.04,0.05,0.03,0.03,0.02,0.0,0.0
US National,Overall,[0.4-0.6),0.0,[0.2-0.3),0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.28,0.11,0.06,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.0,0.0,0.01,0.06,0.0,0.05,0.03,0.09,0.05,0.07,0.09,0.04,0.02,0.04,0.03,0.01,0.04,0.02,0.01,0.03,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[0.6-0.8),0.0,[0.3-0.4),0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.12,0.06,0.06,0.04,0.0,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.01,0.06,0.02,0.12,0.03,0.1,0.1,0.03,0.02,0.02,0.03,0.01,0.04,0.0,0.05,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[0.8-1),0.0,[0.4-0.5),0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.05,0.05,0.02,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,0.0,0.04,0.03,0.03,0.03,0.02,0.03,0.02,0.01,0.03,0.01,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1-1.2),0.0,[0.5-0.6),0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.1,0.02,0.03,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.04,0.0,0.02,0.04,0.05,0.06,0.07,0.03,0.01,0.02,0.01,0.03,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1.2-1.4),0.0,[0.6-0.7),0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.11,0.03,0.02,0.03,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.01,0.02,0.03,0.01,0.06,0.03,0.05,0.03,0.01,0.01,0.02,0.02,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1.4-1.6),0.0,[0.7-0.8),0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.05,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.01,0.04,0.02,0.04,0.02,0.02,0.03,0.01,0.01,0.03,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1.6-1.8),0.0,[0.8-0.9),0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.09,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.02,0.02,0.04,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US National,Overall,[1.8-2),0.0,[0.9-1),0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.02,0.03,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.03,0.0,0.04,0.01,0.04,0.06,0.05,0.03,0.01,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
