Location,Agegroup,Bin_cml,Cml,Bin,PeakMagnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
US National,Overall,[0-0.02),0.113942307692308,[0-0.01),0,1,1,1,1,0.816666666666667,0.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.208333333333333,0.641666666666667,0.991666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
US National,Overall,[0.02-0.04),0.0134615384615385,[0.01-0.02),0,0,0,0,0,0.166666666666667,0.45,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0.141666666666667,0.408333333333333,0.35,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.04-0.06),0.00849358974358974,[0.02-0.03),0,0,0,0,0,0.0166666666666667,0.2,0.225,0,0,0,0,0,0,0,0,0,0,0.075,0.183333333333333,0.166666666666667,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.06-0.08),0.00400641025641026,[0.03-0.04),0,0,0,0,0,0,0.05,0.166666666666667,0.00833333333333333,0,0,0,0,0,0,0,0,0.0166666666666667,0.0416666666666667,0.175,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.08-0.1),0.00480769230769231,[0.04-0.05),0,0,0,0,0,0,0.0583333333333333,0.175,0.0583333333333333,0,0,0,0,0,0,0,0,0.025,0.116666666666667,0.125,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.1-0.12),0.00448717948717949,[0.05-0.06),0,0,0,0,0,0,0.00833333333333333,0.075,0.0916666666666667,0,0,0,0,0,0,0,0,0.0416666666666667,0.0666666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.12-0.14),0.00368589743589744,[0.06-0.07),0,0,0,0,0,0,0.0166666666666667,0.0666666666666667,0.0916666666666667,0,0,0,0,0,0,0,0,0.0166666666666667,0.05,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.14-0.16),0.00208333333333333,[0.07-0.08),0,0,0,0,0,0,0,0.0666666666666667,0.05,0,0,0,0,0,0,0,0.00833333333333333,0.025,0.0916666666666667,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.16-0.18),0.00192307692307692,[0.08-0.09),0,0,0,0,0,0,0,0.025,0.0583333333333333,0,0,0,0,0,0,0,0.00833333333333333,0.025,0.141666666666667,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[0.18-0.2),0.00144230769230769,[0.09-0.1),0,0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0.05,0.0416666666666667,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
